filename,width,height,class,xmin,ymin,xmax,ymax
283236.jpeg,500,800,dress,157,139,342,498
283236.jpeg,500,800,footwear,213,687,268,782
127226.jpeg,500,800,dress,64,9,384,800
292047.jpeg,500,800,dress,205,137,331,380
223792.jpeg,500,800,footwear,10,21,492,800
38215.jpeg,500,800,dress,12,11,487,800
226197.jpeg,500,800,footwear,10,8,473,800
195046.jpeg,500,800,footwear,133,63,340,750
139469.jpeg,500,800,dress,148,93,291,452
139469.jpeg,500,800,footwear,164,637,243,800
186122.jpeg,500,800,dress,132,62,371,739
194844.jpeg,500,800,dress,158,120,331,392
297052.jpeg,500,800,dress,174,129,329,513
297052.jpeg,500,800,footwear,207,697,284,784
358347.jpeg,500,800,dress,179,61,306,746
174100.jpeg,500,800,footwear,38,353,482,710
285057.jpeg,500,800,dress,185,142,302,800
344017.jpeg,500,800,dress,76,10,411,800
226299.jpeg,500,800,footwear,7,16,479,773
160483.jpeg,500,800,footwear,61,24,438,776
186034.jpeg,500,800,footwear,16,240,500,550
228640.jpeg,500,800,footwear,7,11,500,767
215269.jpeg,500,800,footwear,21,20,495,774
385036.jpeg,500,800,dress,194,134,323,578
311848.jpeg,500,800,footwear,176,127,315,513
311848.jpeg,500,800,footwear,200,703,261,777
286862.jpeg,500,800,dress,215,139,317,530
286862.jpeg,500,800,footwear,200,741,305,794
174470.jpeg,500,800,footwear,12,142,495,648
195954.jpeg,500,800,footwear,21,222,500,578
137129.jpeg,500,800,dress,165,120,291,694
137129.jpeg,500,800,footwear,212,689,275,800
226653.jpeg,500,800,footwear,13,19,500,797
205897.jpeg,500,800,footwear,129,24,353,777
354108.jpeg,500,800,dress,122,51,374,772
226532.jpeg,500,800,footwear,23,24,487,800
260656.jpeg,500,800,dress,194,142,321,494
260656.jpeg,500,800,footwear,222,668,276,773
151673.jpeg,500,800,dress,139,125,331,594
151673.jpeg,500,800,footwear,154,709,253,799
277973.jpeg,500,800,dress,174,137,366,584
277973.jpeg,500,800,footwear,242,672,305,787
208914.jpeg,500,800,dress,184,135,326,651
158564.jpeg,500,800,footwear,78,19,365,794
174819.jpeg,500,800,footwear,5,235,500,582
188156.jpeg,500,800,footwear,1,146,500,685
204372.jpeg,500,800,dress,200,136,323,529
204372.jpeg,500,800,footwear,206,683,284,777
217310.jpeg,500,800,footwear,12,8,496,800
220837.jpeg,500,800,footwear,16,13,500,794
142872.jpeg,500,800,dress,124,120,311,477
142872.jpeg,500,800,footwear,108,693,181,800
142872.jpeg,500,800,footwear,218,652,279,757
301279.jpeg,500,800,dress,175,125,350,577
301279.jpeg,500,800,footwear,207,699,280,784
387461.jpeg,500,800,dress,107,39,352,627
309808.jpeg,500,800,dress,242,126,416,783
196863.jpeg,500,800,footwear,138,177,347,627
174616.jpeg,500,800,footwear,16,241,500,562
204360.jpeg,500,800,dress,132,214,437,650
309356.jpeg,500,800,dress,73,166,355,699
279505.jpeg,500,800,dress,222,124,328,590
279505.jpeg,500,800,footwear,266,690,321,800
341658.jpeg,500,800,dress,163,155,310,498
341658.jpeg,500,800,footwear,234,701,259,795
204354.jpeg,500,800,dress,174,142,318,466
204354.jpeg,500,800,footwear,239,680,331,793
249278.jpeg,500,800,dress,192,127,316,495
249278.jpeg,500,800,footwear,224,680,281,767
249278.jpeg,500,800,footwear,295,677,358,755
188295.jpeg,500,800,footwear,38,9,469,659
162123.jpeg,500,800,dress,132,109,337,748
297057.jpeg,500,800,dress,207,137,324,506
297057.jpeg,500,800,footwear,215,690,301,785
178560.jpeg,500,800,footwear,16,171,484,764
32933.jpeg,500,800,dress,17,9,474,800
263509.jpeg,500,800,dress,173,115,328,752
196864.jpeg,500,800,footwear,17,172,500,627
168854.jpeg,500,800,dress,168,147,287,510
168854.jpeg,500,800,footwear,202,671,276,774
348859.jpeg,500,800,dress,140,61,348,779
194974.jpeg,500,800,footwear,16,301,497,608
151674.jpeg,500,800,dress,139,180,359,800
186719.jpeg,500,800,footwear,111,120,352,647
191827.jpeg,500,800,dress,199,140,331,506
191827.jpeg,500,800,footwear,154,641,336,793
195416.jpeg,500,800,dress,158,135,340,383
263505.jpeg,500,800,dress,194,136,327,778
186323.jpeg,500,800,dress,180,47,321,773
292046.jpeg,500,800,dress,169,129,333,532
292046.jpeg,500,800,dress,206,685,282,787
109756.jpeg,500,800,dress,158,127,352,469
109756.jpeg,500,800,footwear,226,662,396,792
260660.jpeg,500,800,dress,208,152,308,515
260660.jpeg,500,800,footwear,182,682,278,769
381537.jpeg,500,800,dress,150,58,349,668
387299.jpeg,500,800,dress,168,58,316,659
219149.jpeg,500,800,footwear,15,14,500,767
199362.jpeg,500,800,footwear,73,46,402,739
133047.jpeg,500,800,dress,128,164,401,714
109643.jpeg,500,800,dress,228,210,436,789
385165.jpeg,500,800,dress,139,58,319,573
159143.jpeg,500,800,dress,137,124,317,500
159143.jpeg,500,800,footwear,176,690,276,800
199743.jpeg,500,800,footwear,127,51,358,751
107513.jpeg,500,800,dress,97,166,395,722
204355.jpeg,500,800,dress,76,204,375,736
190358.jpeg,500,800,dress,185,132,297,695
190358.jpeg,500,800,footwear,199,700,300,787
348420.jpeg,500,800,dress,157,124,352,493
348420.jpeg,500,800,footwear,248,694,305,787
348421.jpeg,500,800,dress,181,129,310,498
348421.jpeg,500,800,footwear,208,690,248,789
199890.jpeg,500,800,footwear,28,68,453,730
189925.jpeg,500,800,dress,111,53,374,766
159266.jpeg,500,800,dress,165,134,352,509
159266.jpeg,500,800,footwear,143,683,209,800
159266.jpeg,500,800,footwear,250,692,310,800
226757.jpeg,500,800,footwear,8,15,500,753
158921.jpeg,500,800,footwear,40,27,415,766
204365.jpeg,500,800,dress,19,178,484,800
275224.jpeg,500,800,dress,179,151,328,389
195415.jpeg,500,800,dress,160,139,334,548
195415.jpeg,500,800,footwear,206,713,303,795
179985.jpeg,500,800,footwear,5,141,500,597
195427.jpeg,500,800,dress,148,121,350,519
195427.jpeg,500,800,footwear,186,710,308,784
385033.jpeg,500,800,dress,63,9,498,800
32930.jpeg,500,800,dress,99,116,440,783
221602.jpeg,500,800,footwear,12,10,500,774
289161.jpeg,500,800,dress,185,137,337,576
289161.jpeg,500,800,footwear,212,679,290,778
227389.jpeg,500,800,footwear,11,10,500,789
208161.jpeg,500,800,dress,174,109,328,648
387698.jpeg,500,800,dress,153,61,363,550
215708.jpeg,500,800,footwear,5,13,500,797
308171.jpeg,500,800,dress,73,47,419,800
194845.jpeg,500,800,dress,155,110,321,537
194845.jpeg,500,800,footwear,185,680,269,800
215272.jpeg,500,800,footwear,2,11,497,800
362986.jpeg,500,800,dress,179,42,324,477
362986.jpeg,500,800,footwear,199,688,240,787
25608.jpeg,500,800,dress,18,1,492,800
140041.jpeg,500,800,dress,150,103,363,800
191875.jpeg,500,800,dress,170,43,326,743
132964.jpeg,500,800,dress,148,124,301,459
132964.jpeg,500,800,footwear,170,672,274,774
221593.jpeg,500,800,footwear,5,241,500,767
208916.jpeg,500,800,dress,182,132,326,698
285055.jpeg,500,800,dress,203,150,319,780
349681.jpeg,500,800,dress,149,51,345,499
349681.jpeg,500,800,footwear,216,667,271,787
356855.jpeg,500,800,dress,169,58,334,427
356855.jpeg,500,800,footwear,202,682,260,776
198222.jpeg,500,800,footwear,6,47,476,724
153085.jpeg,500,800,dress,27,4,469,800
136289.jpeg,500,800,dress,211,122,359,735
136289.jpeg,500,800,footwear,173,731,357,800
132600.jpeg,500,800,dress,157,230,401,755
278496.jpeg,500,800,dress,206,150,321,534
278496.jpeg,500,800,footwear,217,685,302,776
163477.jpeg,500,800,dress,131,89,368,747
140100.jpeg,500,800,dress,137,114,295,747
140100.jpeg,500,800,footwear,168,736,222,800
187136.jpeg,500,800,footwear,144,152,333,637
191874.jpeg,500,800,dress,169,41,324,774
311852.jpeg,500,800,dress,180,141,313,504
311852.jpeg,500,800,footwear,207,714,260,782
220400.jpeg,500,800,footwear,13,255,500,564
341657.jpeg,500,800,dress,163,118,328,518
341657.jpeg,500,800,footwear,240,699,290,785
191829.jpeg,500,800,dress,192,146,376,511
191829.jpeg,500,800,footwear,211,689,296,790
280872.jpeg,500,800,dress,189,136,318,527
280872.jpeg,500,800,footwear,223,674,290,797
205214.jpeg,500,800,dress,180,106,322,782
289140.jpeg,500,800,dress,178,132,334,399
308194.jpeg,500,800,dress,164,50,323,777
25605.jpeg,500,800,dress,165,104,357,782
199396.jpeg,500,800,footwear,82,57,397,777
179984.jpeg,500,800,footwear,5,151,490,621
199747.jpeg,500,800,footwear,131,51,368,739
183092.jpeg,500,800,footwear,11,315,484,513
193484.jpeg,500,800,footwear,13,180,500,615
174617.jpeg,500,800,footwear,6,198,500,589
139010.jpeg,500,800,dress,101,35,411,716
387529.jpeg,500,800,dress,180,56,340,578
149337.jpeg,500,800,footwear,55,59,448,776
284629.jpeg,500,800,dress,176,130,332,393
23288.jpeg,500,800,dress,16,1,481,800
204362.jpeg,500,800,dress,134,206,418,747
139009.jpeg,500,800,dress,161,135,340,721
206477.jpeg,500,800,footwear,23,304,466,735
195418.jpeg,500,800,dress,170,142,342,524
195418.jpeg,500,800,footwear,232,743,290,788
198223.jpeg,500,800,footwear,139,62,343,736
162794.jpeg,500,800,dress,176,180,328,748
195425.jpeg,500,800,dress,158,137,331,564
195425.jpeg,500,800,footwear,216,718,279,794
223750.jpeg,500,800,footwear,15,136,500,678
277971.jpeg,500,800,dress,197,162,345,587
277971.jpeg,500,800,footwear,201,677,285,780
133307.jpeg,500,800,dress,174,113,371,571
133307.jpeg,500,800,footwear,200,690,326,800
133309.jpeg,500,800,dress,147,82,354,594
133309.jpeg,500,800,footwear,191,692,314,800
129533.jpeg,500,800,footwear,23,387,470,672
183105.jpeg,500,800,dress,157,35,326,456
183105.jpeg,500,800,footwear,212,653,286,798
132599.jpeg,500,800,dress,113,209,373,703
25607.jpeg,500,800,dress,144,101,364,788
32927.jpeg,500,800,dress,118,92,403,763
32928.jpeg,500,800,dress,134,95,349,737
249419.jpeg,500,800,dress,182,122,343,546
249419.jpeg,500,800,footwear,202,697,287,767
382877.jpeg,500,800,dress,145,68,342,571
384154.jpeg,500,800,dress,124,48,358,692
187291.jpeg,500,800,footwear,128,137,368,663
107514.jpeg,500,800,dress,155,152,317,463
107514.jpeg,500,800,footwear,187,687,242,790
107514.jpeg,500,800,footwear,333,688,390,789
182341.jpeg,500,800,footwear,2,197,500,600
301282.jpeg,500,800,dress,168,136,371,559
301282.jpeg,500,800,footwear,231,699,292,792
208917.jpeg,500,800,dress,190,132,333,667
295144.jpeg,500,800,dress,201,192,331,766
357673.jpeg,500,800,dress,166,82,345,730
225410.jpeg,500,800,footwear,8,15,496,774
278495.jpeg,500,800,dress,196,140,333,548
278495.jpeg,500,800,footwear,217,708,302,800
109753.jpeg,500,800,dress,42,173,431,713
182342.jpeg,500,800,footwear,1,222,499,606
206603.jpeg,500,800,footwear,15,388,482,756
202377.jpeg,500,800,footwear,21,189,500,568
228085.jpeg,500,800,footwear,31,5,495,800
263510.jpeg,500,800,dress,161,143,321,761
224493.jpeg,500,800,footwear,11,13,482,799
301280.jpeg,500,800,dress,153,152,342,568
301280.jpeg,500,800,footwear,208,724,303,784
199356.jpeg,500,800,footwear,85,294,447,740
207718.jpeg,500,800,footwear,18,187,484,604
308117.jpeg,500,800,dress,145,68,355,662
391091.jpeg,500,800,dress,176,77,344,627
382964.jpeg,500,800,dress,76,5,494,800
221595.jpeg,500,800,footwear,16,503,500,713
381536.jpeg,500,800,dress,170,71,337,695
280871.jpeg,500,800,dress,176,134,345,388
181180.jpeg,500,800,footwear,8,229,500,628
127224.jpeg,500,800,dress,154,129,328,778
157754.jpeg,500,800,dress,145,116,369,779
188562.jpeg,500,800,dress,136,92,363,732
309357.jpeg,500,800,dress,7,4,482,800
199924.jpeg,500,800,footwear,19,271,474,674
154785.jpeg,500,800,dress,38,1,477,800
198224.jpeg,500,800,footwear,6,52,492,768
137128.jpeg,500,800,dress,105,9,375,800
23287.jpeg,500,800,dress,15,1,471,800
186123.jpeg,500,800,dress,170,55,336,427
186123.jpeg,500,800,footwear,201,674,299,778
204358.jpeg,500,800,dress,103,201,390,730
195412.jpeg,500,800,dress,143,143,311,545
195412.jpeg,500,800,footwear,181,713,252,788
168855.jpeg,500,800,dress,166,141,318,509
168855.jpeg,500,800,footwear,197,677,312,800
194846.jpeg,500,800,dress,155,110,332,545
194846.jpeg,500,800,footwear,170,683,284,797
159268.jpeg,500,800,dress,29,4,478,800
177744.jpeg,500,800,footwear,11,166,500,686
185516.jpeg,500,800,footwear,107,130,391,671
161087.jpeg,500,800,dress,165,180,348,736
297055.jpeg,500,800,dress,192,140,321,382
387302.jpeg,500,800,dress,161,58,326,611
355144.jpeg,500,800,dress,179,31,322,403
355144.jpeg,500,800,footwear,186,678,244,797
195423.jpeg,500,800,dress,168,141,332,571
195423.jpeg,500,800,footwear,205,731,310,800
190356.jpeg,500,800,dress,202,141,311,385
328617.jpeg,500,800,dress,164,66,342,771
204349.jpeg,500,800,dress,79,208,381,724
311849.jpeg,500,800,dress,180,142,312,501
311849.jpeg,500,800,footwear,242,727,268,782
195413.jpeg,500,800,dress,164,139,333,553
195413.jpeg,500,800,footwear,196,726,287,790
130653.jpeg,500,800,dress,116,15,391,783
137600.jpeg,500,800,dress,133,174,376,730
284630.jpeg,500,800,dress,179,103,317,484
284630.jpeg,500,800,footwear,221,693,291,787
210290.jpeg,500,800,dress,191,135,311,457
210290.jpeg,500,800,footwear,190,667,279,778
185327.jpeg,500,800,dress,144,36,358,516
185327.jpeg,500,800,footwear,196,699,286,799
197169.jpeg,500,800,dress,186,135,360,494
197169.jpeg,500,800,footwear,213,683,306,793
32929.jpeg,500,800,dress,134,118,373,779
38212.jpeg,500,800,dress,157,77,347,757
170766.jpeg,500,800,dress,173,43,326,474
170766.jpeg,500,800,footwear,199,673,312,792
286863.jpeg,500,800,dress,190,203,323,532
